-3.191398	1069.876099
-2.956272	1070.300293
-2.720162	1070.726318
-2.483086	1071.154053
-2.245061	1071.583496
-2.006104	1072.014648
-1.766234	1072.44751
-1.525468	1072.881958
-1.283823	1073.318237
-1.041318	1073.755859
-0.797969	1074.195068
-0.553795	1074.635864
-0.308812	1075.078003
-0.063039	1075.521729
0.183507	1075.966797
0.430808	1076.41333
0.678847	1076.861206
0.927606	1077.310303
1.166019	1077.740723
1.404212	1078.170898
1.643012	1078.602173
1.882404	1079.034424
2.122372	1079.467773
2.3629	1079.902222
2.603975	1080.337524
2.845581	1080.773926
3.087703	1081.211182
3.330322	1081.649536
3.573429	1082.088623
3.817005	1082.528564
4.061035	1082.969482
4.305505	1083.411011
4.5504	1083.853394
4.795703	1084.296509
5.041399	1084.740479
5.287444	1085.184937
5.527352	1085.618286
5.76759	1086.052368
6.008142	1086.487061
6.249	1086.922119
6.490144	1087.35791
6.731564	1087.794067
6.973242	1088.230713
7.215167	1088.667847
7.457325	1089.105347
7.699703	1089.543335
7.942279	1089.981689
8.185054	1090.42041
8.427997	1090.859375
8.671103	1091.298706
8.914358	1091.738159
9.157747	1092.177979
9.401259	1092.618042
9.644873	1093.058228
9.88763	1093.496948
10.129812	1093.93457
10.372055	1094.372314
10.614347	1094.810181
10.856678	1095.248047
11.099028	1095.686035
11.341388	1096.123901
11.583738	1096.56189
11.826072	1096.999878
12.068374	1097.437622
12.310625	1097.875488
12.552819	1098.31311
12.794937	1098.75061
13.036967	1099.187988
13.278895	1099.625122
13.520705	1100.062134
13.76239	1100.498779
14.003932	1100.935303
14.245499	1101.371826
14.489925	1101.813477
14.734161	1102.254761
14.978194	1102.695801
15.222009	1103.13623
15.46559	1103.576416
15.708921	1104.016113
15.951996	1104.4552
16.194794	1104.893921
16.4373	1105.332031
16.679504	1105.769653
16.921391	1106.206665
17.162937	1106.643066
17.404142	1107.078857
17.644991	1107.513916
17.885454	1107.948364
18.125532	1108.381958
18.365206	1108.814941
18.604462	1109.247192
18.849613	1109.689941
19.09618	1110.135376
19.342255	1110.579834
19.587818	1111.023315
19.832859	1111.465942
20.077356	1111.907471
20.321297	1112.348145
20.564657	1112.787598
20.807426	1113.225952
21.049599	1113.663208
21.291142	1114.099487
21.532055	1114.534424
21.772308	1114.968262
22.011898	1115.400879
22.250795	1115.832153
22.488993	1116.262207
22.726484	1116.690918
22.964447	1117.120483
23.214209	1117.571289
23.463104	1118.02063
23.711117	1118.46814
23.958246	1118.914185
24.204458	1119.358521
24.449732	1119.801147
24.694061	1120.242065
24.937416	1120.681152
25.179785	1121.118408
25.421143	1121.553833
25.661474	1121.987427
25.90077	1122.419067
26.138994	1122.848755
26.376137	1123.276489
26.612177	1123.702148
26.847094	1124.125854
27.088676	1124.561401
27.341503	1125.017334
27.592939	1125.470581
27.842958	1125.921265
28.091537	1126.369385
28.338642	1126.814697
28.584263	1127.257324
28.828363	1127.697266
29.070932	1128.134277
29.311934	1128.568359
29.551348	1128.999634
29.789154	1129.427979
30.025322	1129.853394
30.259832	1130.275635
30.492661	1130.694824
30.724331	1131.111816
30.98225	1131.57605
31.237949	1132.036255
31.491381	1132.49231
31.742523	1132.944092
31.991352	1133.391724
32.237797	1133.834839
32.481853	1134.273682
32.723473	1134.708008
32.962631	1135.137817
33.199276	1135.56311
33.433403	1135.983765
33.664955	1136.399658
33.893894	1136.810791
34.134735	1137.243164
34.397881	1137.715454
34.657249	1138.180786
34.912788	1138.63916
35.164448	1139.090332
35.412148	1139.534302
35.655869	1139.971069
35.895535	1140.400269
36.131073	1140.822021
36.36245	1141.236084
36.589607	1141.642456
36.812481	1142.040894
37.066841	1142.495361
37.327034	1142.959961
37.582699	1143.41626
37.833912	1143.86438
38.080688	1144.304199
38.323101	1144.735962
38.561157	1145.159668
38.79493	1145.575439
39.024464	1145.983276
39.259014	1146.400024
39.524002	1146.870117
39.783051	1147.329468
40.03627	1147.777954
40.283707	1148.215698
40.525448	1148.643066
40.761566	1149.060059
40.992142	1149.466797
41.22897	1149.884033
41.496056	1150.354126
41.755241	1150.80957
42.006695	1151.250854
42.250549	1151.678101
42.486927	1152.091675
42.715969	1152.491821
42.975365	1152.944092
43.2397	1153.403931
43.493458	1153.844482
43.7369	1154.266113
43.970284	1154.669312
44.220566	1155.100586
44.488873	1155.561401
44.742466	1155.995483
44.981884	1156.403687
45.22781	1156.821167
45.499317	1157.279785
45.750141	1157.700928
45.989365	1158.100098
46.266315	1158.55835
46.514061	1158.964355
46.783413	1159.400635
47.03616	1159.804199
47.311417	1160.236572
47.578693	1160.649902
47.811382	1161.013184
48.083755	1161.47876
48.31337	1161.886108
48.561089	1162.333008
48.811672	1162.790039
49.04097	1163.211182
49.283482	1163.658936
49.532307	1164.119995
49.761589	1164.546021
49.997459	1164.985474
50.238846	1165.435791
50.477947	1165.882568
50.711918	1166.32019
50.948071	1166.762207
51.185528	1167.206665
51.42342	1167.652222
51.660881	1168.09668
51.897034	1168.538696
52.131001	1168.976196
52.370102	1169.422974
52.611496	1169.873413
52.847363	1170.312744
53.076649	1170.738892
53.325478	1171.199951
53.567986	1171.647583
53.797276	1172.068726
54.047871	1172.525757
54.295586	1172.972778
54.525215	1173.380249
54.797596	1173.845703
54.987617	1174.150757
55.260292	1174.617676
55.500679	1175.041748
55.736004	1175.462036
55.998486	1175.934814
56.243645	1176.379028
56.472473	1176.79541
56.712986	1177.234375
56.964138	1177.694092
57.211987	1178.148926
57.442368	1178.572388
57.678337	1179.006958
57.919277	1179.451172
58.16444	1179.903931
